Type,Spatial_Frequency,filepath,file_name,robotic_trials.thisRepN,robotic_trials.thisTrialN,robotic_trials.thisN,robotic_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Robotic__Stimuli.started,roi.started,roi.numLooks,roi.timesOn,roi.timesOff,M_H_likeness_slider.response,M_H_likeness_slider.rt,ISI_2.started,Robotic__Stimuli.stopped,roi.stopped,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c79.jpeg,matched-c79.jpeg,0,39,39,14,,,,,,,171.21689500001958,171.21689500001958,1,[0.011114499997347593],[1.013010900001973],92.5925925925926,0.4995970000163652,1.2500036973506212e-05,172.21675690001575,172.21675690001575,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c77.jpeg,matched-c77.jpeg,0,40,40,13,,,,,,,174.4865118000307,174.4865118000307,1,[0.0004102999810129404],[1.008583799994085],88.61111111111111,0.43285480001941323,1.2399978004395962e-05,175.49799290002557,175.49799290002557,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c14.jpeg,matched-32-cpi-low-c14.jpeg,0,41,41,78,,,,,,,177.68121200002497,177.68121200002497,2,"[0.00038189999759197235, 0.34667840000474826]","[0.2799381000222638, 0.996983100019861]",12.592592592592593,0.4971474999911152,1.2599979527294636e-05,178.6812430000282,178.6812430000282,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c66.jpeg,matched-32-cpi-low-c66.jpeg,0,42,42,36,,,,,,,181.33333400002448,181.33333400002448,1,[0.01336689997697249],[1.0131562000024132],83.88888888888889,0.416109099984169,1.3000040780752897e-05,182.333200699999,182.333200699999,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c63.jpeg,matched-8-cpi-low-c63.jpeg,0,43,43,18,,,,,,,184.46961460000603,184.46961460000603,1,[0.0005397000350058079],[1.0090106999850832],27.037037037037038,0.8474725999985822,1.2599979527294636e-05,185.48110400000587,185.48110400000587,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c48.jpeg,matched-32-cpi-low-c48.jpeg,0,44,44,30,,,,,,,188.11719050002284,188.11719050002284,1,[0.00041040003998205066],[0.9789122000220232],12.037037037037035,0.5664715000311844,1.3299984857439995e-05,,,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c38.jpeg,matched-c38.jpeg,0,45,45,57,,,,,,,191.43133639998268,191.43133639998268,1,[0.013204999966546893],[1.0130721000023186],10.833333333333334,0.449692300055176,1.2599979527294636e-05,192.43113959999755,192.43113959999755,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c33.jpeg,matched-32-cpi-low-c33.jpeg,0,46,46,83,,,,,,,194.68306940002367,194.68306940002367,1,[0.00039579998701810837],[0.9805537000065669],9.999999999999998,0.5837498999899253,1.2299977242946625e-05,,,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c27.jpeg,matched-c27.jpeg,0,47,47,52,,,,,,,198.39970389998052,198.39970389998052,1,[0.014748300018254668],[1.0124565999722108],7.314814814814813,0.28578219999326393,1.3699987903237343e-05,,,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c10.jpeg,matched-c10.jpeg,0,48,48,45,,,,,,,201.4495737000252,201.4495737000252,2,"[0.0003583999932743609, 0.7301627999986522]","[0.6805203999974765, 0.9968795999884605]",5.555555555555558,0.5833280999795534,1.209997572004795e-05,202.44748730002902,202.44748730002902,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c36.jpeg,matched-8-cpi-low-c36.jpeg,0,49,49,70,,,,,,,204.81613220000872,204.81613220000872,1,[0.00039469997864216566],[0.9986036999616772],18.98148148148148,1.0322822000016458,1.3699987903237343e-05,205.81409820000408,205.81409820000408,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c65.jpeg,matched-8-cpi-low-c65.jpeg,0,50,50,20,,,,,,,208.85245940001914,208.85245940001914,1,[0.0003205999964848161],[1.0103469000314362],55.00000000000001,0.599111300020013,1.2300035450607538e-05,209.86606919998303,209.86606919998303,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c71.jpeg,matched-32-cpi-low-c71.jpeg,0,51,51,39,,,,,,,212.28262650000397,212.28262650000397,1,[0.00037130003329366446],[0.9982790999929421],77.03703703703704,0.43296460004057735,1.2399978004395962e-05,213.28271459997632,213.28271459997632,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c79.jpeg,matched-32-cpi-low-c79.jpeg,0,52,52,44,,,,,,,215.46602659998462,215.46602659998462,1,[0.0004440000047907233],[0.9794239000184461],86.01851851851852,0.41500710003310814,1.3199984095990658e-05,,,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c63.jpeg,matched-32-cpi-low-c63.jpeg,0,53,53,33,,,,,,,218.69743469997775,218.69743469997775,1,[0.00042459997348487377],[0.9965972999925725],61.48148148148148,0.3497724999906495,1.3199984095990658e-05,219.6990278000012,219.6990278000012,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c74.jpeg,matched-32-cpi-low-c74.jpeg,0,54,54,41,,,,,,,221.76577080000425,221.76577080000425,1,[0.000408699968829751],[0.9959369999705814],62.22222222222222,0.3832828000304289,1.3899989426136017e-05,222.763825299975,222.763825299975,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c72.jpeg,matched-c72.jpeg,0,55,55,10,,,,,,,224.88240780000342,224.88240780000342,1,[0.0005581000004895031],[0.9803912999923341],40.55555555555556,0.5501572999637574,1.3299984857439995e-05,,,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c36.jpeg,matched-32-cpi-low-c36.jpeg,0,56,56,85,,,,,,,228.53236210002797,228.53236210002797,1,[0.00041360000614076853],[1.0116896000108682],31.851851851851855,0.5157240999978967,1.3499986380338669e-05,229.54679320001742,229.54679320001742,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
