Type,Spatial_Frequency,filepath,file_name,robotic_trials.thisRepN,robotic_trials.thisTrialN,robotic_trials.thisN,robotic_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Robotic__Stimuli.started,roi.started,Robotic__Stimuli.stopped,roi.stopped,roi.numLooks,roi.timesOn,roi.timesOff,M_H_likeness_slider.response,M_H_likeness_slider.rt,ISI_2.started,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c58.jpeg,matched-8-cpi-low-c58.jpeg,0,24,24,16,,,,,,,120.69691980000061,120.69691980000061,121.71159489999991,121.71159489999991,1,[0.00037150000571273267],[1.0113573000126053],41.01851851851852,0.633092599993688,1.3900003978051245e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c64.jpeg,matched-8-cpi-low-c64.jpeg,0,25,25,19,,,,,,,124.26367659999232,124.26367659999232,125.27809139998863,125.27809139998863,1,[0.00034890000824816525],[1.0107087000069441],20.64814814814815,0.9476194000017131,1.6699996194802225e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c43.jpeg,matched-8-cpi-low-c43.jpeg,0,26,26,66,,,,,,,128.08025149999594,128.08025149999594,129.07989709998947,129.07989709998947,1,[0.0004474000015761703],[0.9964826999930665],22.962962962962962,0.6142789000004996,1.4499993994832039e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c16.jpeg,matched-8-cpi-low-c16.jpeg,0,27,27,64,,,,,,,131.78043469999102,131.78043469999102,132.78043519999483,132.78043519999483,1,[0.0005287999956635758],[0.996741099996143],4.629629629629628,1.5312079999857815,1.2400007108226418e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c61.jpeg,matched-8-cpi-low-c61.jpeg,0,28,28,17,,,,,,,136.19663319998654,136.19663319998654,,,1,[0.013353100002859719],[1.0093600999971386],42.31481481481482,1.68601160000253,1.3700002455152571e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c74.jpeg,matched-8-cpi-low-c74.jpeg,0,29,29,26,,,,,,,141.04661579999083,141.04661579999083,,,1,[0.01340489998983685],[1.0112318999890704],49.53703703703704,0.7317457000026479,1.2799995602108538e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c35.jpeg,matched-32-cpi-low-c35.jpeg,0,30,30,84,,,,,,,144.62994649999018,144.62994649999018,,,1,[0.013416900008451194],[1.0109988000040175],7.222222222222224,1.9545450000005076,1.200000406242907e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c37.jpeg,matched-8-cpi-low-c37.jpeg,0,31,31,71,,,,,,,149.44635589999962,149.44635589999962,,,1,[0.013088599996990524],[0.7776779999985592],3.2407407407407387,0.25197040000057314,1.2200005585327744e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c14.jpeg,matched-8-cpi-low-c14.jpeg,0,32,32,63,,,,,,,152.89622569999483,152.89622569999483,153.91080469998997,153.91080469998997,1,[0.0004434000002220273],[1.0106674999988172],13.425925925925924,0.5661653999995906,1.2500007869675756e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c65.jpeg,matched-8-cpi-low-c65.jpeg,0,33,33,20,,,,,,,156.5296132999938,156.5296132999938,157.54390889999922,157.54390889999922,1,[0.0004220000118948519],[1.0110444000019925],48.24074074074074,1.8687331000110134,1.4099990949034691e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
