Type,Spatial_Frequency,filepath,file_name,human_trials.thisRepN,human_trials.thisTrialN,human_trials.thisN,human_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Human_image.started,roi.started,roi.numLooks,roi.timesOn,roi.timesOff,Likebility_slider_3.started,ratingText.started,image.started,mouse.started,Likebility_slider_3.response,Likebility_slider_3.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,ISI_2.started,Human_image.stopped,roi.stopped,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_28_Caucasian_male_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_28_Caucasian_male_neutral_frontal.jpg,0,9,9,8,,,,,,,81.29832199998782,81.29832199998782,0,,,82.30089049998787,82.30089049998787,83.21531289999257,0.8963891000021249,-59.44444444444444,0.8962889999966137,[0.575925925925926],[-0.43703703703703706],[1],[0],[0],[0.618258300004527],['image'],1.2800010154023767e-05,82.30089049998787,82.30089049998787,,,DAP,001,2023-04-17_21h40.03.735,Human_uncanny,2022.2.5,60.146179270370894,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_36_Caucasian_male_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_36_Caucasian_male_neutral_frontal.jpg,0,10,10,28,,,,,,,85.31498269998701,85.31498269998701,0,,,86.31345699998201,86.31345699998201,87.61520599998767,1.2803493000101298,-29.444444444444457,3.5316105999809224,"[-0.08611111111111111, -0.14722222222222223, 0.47129629629629627]","[-0.053703703703703705, -0.13703703703703704, -0.4083333333333333]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1.2871999999915715, 2.1352058999764267, 3.335031899972819]",['image'],1.2800010154023767e-05,86.31345699998201,86.31345699998201,,,DAP,001,2023-04-17_21h40.03.735,Human_uncanny,2022.2.5,60.146179270370894,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_19_Caucasian_female_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_19_Caucasian_female_neutral_frontal.jpg,0,11,11,19,,,,,,,92.42978829998174,92.42978829998174,0,,,93.44674749998376,93.44674749998376,94.31502009998076,0.8650042999943253,-11.29629629629629,0.8663089000037871,[0.4787037037037037],[-0.4638888888888889],[1],[0],[0],[0.7833339999779128],['image'],2.269999822601676e-05,93.43174509998062,93.43174509998062,,,DAP,001,2023-04-17_21h40.03.735,Human_uncanny,2022.2.5,60.146179270370894,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_30_Caucasian_male_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_30_Caucasian_male_neutral_frontal.jpg,0,12,12,9,,,,,,,96.58137989998795,96.58137989998795,0,,,97.58392449998064,97.58392449998064,98.73164919999545,1.1315325000032317,-42.77777777777778,1.1303026999812573,[0.4425925925925926],[-0.44722222222222224],[1],[0],[0],[0.5840265000006184],['image'],1.5099998563528061e-05,97.58392449998064,97.58392449998064,,,DAP,001,2023-04-17_21h40.03.735,Human_uncanny,2022.2.5,60.146179270370894,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_16_Caucasian_female_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_16_Caucasian_female_neutral_frontal.jpg,0,13,13,17,,,,,,,100.79801659999066,100.79801659999066,0,,,101.80008159999852,101.80008159999852,103.90050329998485,2.0830639000050724,-33.33333333333333,4.047681800002465,"[-0.13518518518518519, -0.16666666666666666, 0.4537037037037037]","[-0.10648148148148148, -0.09351851851851851, -0.4444444444444444]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.48352650000015274, 1.864612000004854, 2.531350100005511]",['image'],1.580000389367342e-05,101.80008159999852,101.80008159999852,,,DAP,001,2023-04-17_21h40.03.735,Human_uncanny,2022.2.5,60.146179270370894,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_28_Caucasian_male_neutral_frontal.jpg,matched-Rafd090_28_Caucasian_male_neutral_frontal.jpg,0,14,14,38,,,,,,,107.91484269997454,107.91484269997454,0,,,108.91698879998876,108.91698879998876,113.0645780999912,4.131015200022375,-2.037037037037038,4.1303941999794915,[0.5212962962962963],[-0.4537037037037037],[1],[0],[0],[2.100872299983166],['image'],1.4499993994832039e-05,108.91698879998876,108.91698879998876,,,DAP,001,2023-04-17_21h40.03.735,Human_uncanny,2022.2.5,60.146179270370894,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_31_Caucasian_female_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_31_Caucasian_female_neutral_frontal.jpg,0,15,15,10,,,,,,,116.66448969999328,116.66448969999328,0,,,117.66723979997914,117.66723979997914,118.64786459997413,0.9809266999945976,-82.4074074074074,0.9619435999775305,[0.46111111111111114],[-0.40185185185185185],[1],[0],[0],[1.0835497000080068],['image'],1.5199999324977398e-05,117.66723979997914,117.66723979997914,,,DAP,001,2023-04-17_21h40.03.735,Human_uncanny,2022.2.5,60.146179270370894,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_12_Caucasian_female_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_12_Caucasian_female_neutral_frontal.jpg,0,16,16,16,,,,,,,121.21397549999529,121.21397549999529,0,,,122.23324579998734,122.23324579998734,123.09766369999852,0.8649940000032075,36.296296296296305,0.8670073999965098,[0.537962962962963],[-0.39537037037037037],[1],[0],[0],[1.0001498000056017],['image'],1.4599994756281376e-05,122.21658089998527,122.21658089998527,,,DAP,001,2023-04-17_21h40.03.735,Human_uncanny,2022.2.5,60.146179270370894,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_22_Caucasian_female_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_22_Caucasian_female_neutral_frontal.jpg,0,17,17,20,,,,,,,125.58122639998328,125.58122639998328,0,,,126.58288989998982,126.58288989998982,127.48114159997203,0.8820647999818902,-37.03703703703704,0.8802431999938563,[0.4740740740740741],[-0.41574074074074074],[1],[0],[0],[0.4484445000125561],['image'],4.0300015825778246e-05,126.58288989998982,126.58288989998982,,,DAP,001,2023-04-17_21h40.03.735,Human_uncanny,2022.2.5,60.146179270370894,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_26_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_26_Caucasian_female_neutral_frontal.jpg,0,18,18,37,,,,,,,129.41387919997214,129.41387919997214,0,,,130.41637569997692,130.41637569997692,131.09764979998,0.6648814000072889,41.296296296296305,0.6644209999940358,[0.5472222222222223],[-0.42685185185185187],[1],[0],[0],[0.6016122000000905],['image'],1.659998088143766e-05,130.41637569997692,130.41637569997692,,,DAP,001,2023-04-17_21h40.03.735,Human_uncanny,2022.2.5,60.146179270370894,
