Type,Spatial_Frequency,filepath,file_name,human_trials.thisRepN,human_trials.thisTrialN,human_trials.thisN,human_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Human_image.started,roi.started,roi.numLooks,roi.timesOn,roi.timesOff,image_2.started,M_H_likeness_slider.response,M_H_likeness_slider.rt,ISI_2.started,Human_image.stopped,roi.stopped,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_36_Caucasian_male_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_36_Caucasian_male_neutral_frontal.jpg,0,24,24,28,,,,,,,114.71087860001717,114.71087860001717,2,"[0.00047480000648647547, 0.6934814999694936]","[0.6433174000121653, 1.010204899997916]",116.27184510004008,74.44444444444444,0.5326170000480488,1.3399985618889332e-05,115.72152469999855,115.72152469999855,,,VAG,001,2023-05-06_17h55.55.754,Human_uncanny,2022.2.5,59.151507133208234,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_19_Caucasian_female_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_19_Caucasian_female_neutral_frontal.jpg,0,25,25,19,,,,,,,118.0071049000253,118.0071049000253,1,[0.010471699992194772],[1.010195399983786],120.06002870004158,42.5,1.0356427999795415,1.3199984095990658e-05,119.00689810002223,119.00689810002223,,,VAG,001,2023-05-06_17h55.55.754,Human_uncanny,2022.2.5,59.151507133208234,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_32_Caucasian_female_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_32_Caucasian_female_neutral_frontal.jpg,0,26,26,26,,,,,,,121.94031740003265,121.94031740003265,1,[0.013307399989571422],[1.0131008999887854],123.5736060999916,92.5,0.6139703000080772,1.479999627918005e-05,122.94017539999913,122.94017539999913,,,VAG,001,2023-05-06_17h55.55.754,Human_uncanny,2022.2.5,59.151507133208234,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_30_Caucasian_male_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_30_Caucasian_male_neutral_frontal.jpg,0,27,27,9,,,,,,,125.59024260001024,125.59024260001024,1,[0.0003674000035971403],[0.9968110999907367],127.2049740999937,69.9074074074074,0.5995685000088997,1.3199984095990658e-05,126.58815140003571,126.58815140003571,,,VAG,001,2023-05-06_17h55.55.754,Human_uncanny,2022.2.5,59.151507133208234,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_30_Caucasian_male_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_30_Caucasian_male_neutral_frontal.jpg,0,28,28,24,,,,,,,128.89011750003556,128.89011750003556,1,[0.00042349996510893106],[0.9962913999916054],130.52645410003606,81.0185185185185,0.6193356000003405,1.3399985618889332e-05,129.89008129999274,129.89008129999274,,,VAG,001,2023-05-06_17h55.55.754,Human_uncanny,2022.2.5,59.151507133208234,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_30_Caucasian_male_neutral_frontal.jpg,matched-Rafd090_30_Caucasian_male_neutral_frontal.jpg,0,29,29,39,,,,,,,132.2400612999918,132.2400612999918,1,[0.0004146000137552619],[0.9971116000087932],133.62639650003985,98.24074074074073,0.3686018999433145,1.4099990949034691e-05,133.24010130000534,133.24010130000534,,,VAG,001,2023-05-06_17h55.55.754,Human_uncanny,2022.2.5,59.151507133208234,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_22_Caucasian_female_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_22_Caucasian_female_neutral_frontal.jpg,0,30,30,20,,,,,,,135.70968379999977,135.70968379999977,1,[0.00033680000342428684],[1.011034799972549],137.13996000000043,86.85185185185185,0.39882120001129806,1.2599979527294636e-05,136.72135130001698,136.72135130001698,,,VAG,001,2023-05-06_17h55.55.754,Human_uncanny,2022.2.5,59.151507133208234,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_18_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_18_Caucasian_female_neutral_frontal.jpg,0,31,31,33,,,,,,,138.85455170000205,138.85455170000205,1,[0.013324400002602488],[1.0109894000343047],140.52314970002044,93.5185185185185,0.6511925999657251,1.2700038496404886e-05,139.856528000033,139.856528000033,,,VAG,001,2023-05-06_17h55.55.754,Human_uncanny,2022.2.5,59.151507133208234,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_24_Caucasian_male_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_24_Caucasian_male_neutral_frontal.jpg,0,32,32,21,,,,,,,142.2730968000251,142.2730968000251,1,[0.013129900034982711],[1.0134166000061668],144.00650740001583,79.62962962962963,0.7156703000073321,1.2699980288743973e-05,143.27303740003845,143.27303740003845,,,VAG,001,2023-05-06_17h55.55.754,Human_uncanny,2022.2.5,59.151507133208234,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_18_Caucasian_female_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_18_Caucasian_female_neutral_frontal.jpg,0,33,33,18,,,,,,,145.90947409998626,145.90947409998626,1,[0.0004920000210404396],[1.010160400008317],147.90448359999573,37.31481481481481,0.9664881000062451,1.2899981811642647e-05,146.92287820001366,146.92287820001366,,,VAG,001,2023-05-06_17h55.55.754,Human_uncanny,2022.2.5,59.151507133208234,
