Type,Spatial_Frequency,filepath,file_name,robotic_trials.thisRepN,robotic_trials.thisTrialN,robotic_trials.thisN,robotic_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Robotic__Stimuli.started,roi.started,roi.numLooks,roi.timesOn,roi.timesOff,Likebility_slider_3.response,Likebility_slider_3.rt,ISI_2.started,Robotic__Stimuli.stopped,roi.stopped,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c43.jpeg,Matched-c43.jpeg,0,24,24,51,,,,,,,155.00473470008,155.00473470008,1,[0.008466799976304173],[0.9941825000569224],-43.888888888888886,0.5819616999942809,2.0799925550818443e-05,,,,,P13,001,2023-04-14_15h40.30.713,trial uncanny,2022.2.5,59.25016544406894,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c14.jpeg,matched-c14.jpeg,0,25,25,48,,,,,,,158.47144550015219,158.47144550015219,1,[0.008537499932572246],[1.0065041999332607],-48.51851851851852,0.3994416000787169,1.6700010746717453e-05,159.47353140008636,159.47353140008636,,,P13,001,2023-04-14_15h40.30.713,trial uncanny,2022.2.5,59.25016544406894,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c65.jpeg,matched-32-cpi-low-c65.jpeg,0,26,26,35,,,,,,,161.67278640018776,161.67278640018776,1,[0.009165900060907006],[1.0091159001458436],-43.51851851851851,0.46677950001321733,1.5099998563528061e-05,,,,,P13,001,2023-04-14_15h40.30.713,trial uncanny,2022.2.5,59.25016544406894,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c76.jpeg,matched-c76.jpeg,0,27,27,12,,,,,,,164.95448710001074,164.95448710001074,1,[0.0004494998138397932],[0.9901794998440892],-23.51851851851852,0.832505099941045,1.3899989426136017e-05,165.95482740015723,165.95482740015723,,,P13,001,2023-04-14_15h40.30.713,trial uncanny,2022.2.5,59.25016544406894,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c17.jpeg,matched-8-cpi-low-c17.jpeg,0,28,28,65,,,,,,,168.62354100006633,168.62354100006633,1,[0.0005500998813658953],[0.9958317999262363],-23.51851851851852,0.494747799821198,1.2899981811642647e-05,169.62665690016001,169.62665690016001,,,P13,001,2023-04-14_15h40.30.713,trial uncanny,2022.2.5,59.25016544406894,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c14.jpeg,matched-8-cpi-low-c14.jpeg,0,29,29,63,,,,,,,172.08767210016958,172.08767210016958,1,[0.009418800007551908],[1.0091889000032097],-23.888888888888886,0.30029219994321465,1.309998333454132e-05,173.0875297000166,173.0875297000166,,,P13,001,2023-04-14_15h40.30.713,trial uncanny,2022.2.5,59.25016544406894,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c79.jpeg,matched-c79.jpeg,0,30,30,14,,,,,,,175.2250110001769,175.2250110001769,1,[0.0004157999064773321],[1.0058656998444349],21.48148148148148,0.4823400001041591,1.619989052414894e-05,176.23766270000488,176.23766270000488,,,P13,001,2023-04-14_15h40.30.713,trial uncanny,2022.2.5,59.25016544406894,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c69.jpeg,matched-c69.jpeg,0,31,31,8,,,,,,,178.50426549999975,178.50426549999975,1,[0.00044570001773536205],[0.9938869001343846],9.81481481481481,0.6971424999646842,1.2799864634871483e-05,179.5063699001912,179.5063699001912,,,P13,001,2023-04-14_15h40.30.713,trial uncanny,2022.2.5,59.25016544406894,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c11.jpeg,matched-c11.jpeg,0,32,32,46,,,,,,,181.9873033000622,181.9873033000622,1,[0.00043169991113245487],[0.9937275999691337],-18.33333333333333,0.4822672000154853,1.600012183189392e-05,182.99020010000095,182.99020010000095,,,P13,001,2023-04-14_15h40.30.713,trial uncanny,2022.2.5,59.25016544406894,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c77.jpeg,matched-c77.jpeg,0,33,33,13,,,,,,,185.40626590000466,185.40626590000466,1,[0.008514499990269542],[1.0065774000249803],-11.29629629629629,0.3331443998031318,1.4499993994832039e-05,,,,,P13,001,2023-04-14_15h40.30.713,trial uncanny,2022.2.5,59.25016544406894,
