,File_Name,Type,Spatial_Freq,Likability,Mechano_Humanness
43,matched-32-cpi-low-Rafd090_32_Caucasian_female_neutral_frontal.jpg,Human,HSF,"[-43.51851851851851, 15.740740740740748, -41.85185185185185, 75.18518518518519]","[77.22222222222221, 67.5, 92.5, 93.88888888888889]"
44,matched-8-cpi-low-Rafd090_28_Caucasian_male_neutral_frontal.jpg,Human,LSF,"[-75.37037037037037, -20.740740740740733, 19.074074074074066, 20.925925925925924]","[67.68518518518518, 58.05555555555556, 42.407407407407405, 54.629629629629626]"
45,matched-32-cpi-low-c71.jpeg,Humanoid,HSF,"[12.222222222222229, 38.703703703703695, 42.22222222222223, 19.259259259259267]","[54.16666666666666, 61.38888888888889, 77.03703703703704, 57.49999999999999]"
46,matched-32-cpi-low-c63.jpeg,Humanoid,HSF,"[-56.11111111111112, -43.70370370370371, 6.2962962962962905, 15.18518518518519]","[37.5, 27.40740740740741, 61.48148148148148, 54.35185185185185]"
47,matched-32-cpi-low-c38.jpeg,Mechanical,HSF,"[-85.37037037037038, 27.03703703703704, 31.29629629629628, 23.70370370370369]","[6.296296296296294, 26.01851851851852, 5.0925925925925934, 6.574074074074076]"
48,matched-8-cpi-low-c14.jpeg,Mechanical,LSF,"[-100.0, -64.07407407407408, -68.88888888888889, 9.444444444444455]","[18.703703703703702, 13.425925925925924, 3.055555555555556, 19.62962962962963]"
49,matched-32-cpi-low-c67.jpeg,Humanoid,HSF,"[-19.629629629629637, 34.62962962962962, -27.40740740740742, -30.740740740740733]","[38.14814814814815, 54.53703703703704, 64.35185185185185, 42.5925925925926]"
50,matched-c63.jpeg,Humanoid,BSF,"[-21.66666666666667, -30.370370370370367, -43.333333333333336, -6.666666666666671]","[31.85185185185185, 31.944444444444443, 66.75925925925927, 45.55555555555556]"
51,matched-32-cpi-low-c42.jpeg,Mechanical,HSF,"[1.1111111111111145, 17.407407407407405, 5.185185185185176, 7.592592592592595]","[5.277777777777776, 24.62962962962963, 2.962962962962962, 7.685185185185183]"
52,matched-8-cpi-low-c38.jpeg,Mechanical,LSF,"[6.481481481481495, 22.59259259259258, 25.0, 8.148148148148152]","[31.2962962962963, 9.25925925925926, 13.425925925925924, 9.907407407407408]"
53,matched-32-cpi-low-c74.jpeg,Humanoid,HSF,"[-12.592592592592595, -15.18518518518519, 52.40740740740742, -19.629629629629637]","[55.46296296296296, 37.129629629629626, 62.22222222222222, 54.44444444444444]"
54,matched-8-cpi-low-c16.jpeg,Mechanical,LSF,"[-22.77777777777777, -54.629629629629626, -62.40740740740741, -21.851851851851865]","[12.407407407407408, 4.629629629629628, 2.962962962962962, 6.111111111111112]"
55,matched-c66.jpeg,Humanoid,BSF,"[-36.48148148148148, 8.703703703703695, 55.74074074074073, 16.296296296296305]","[40.18518518518518, 7.12962962962963, 52.03703703703704, 69.9074074074074]"
56,matched-c12.jpeg,Mechanical,BSF,"[25.55555555555556, -22.03703703703704, 22.59259259259258, 51.66666666666666]","[10.092592592592592, 6.481481481481483, 2.962962962962962, 7.12962962962963]"
57,matched-c36.jpeg,Mechanical,BSF,"[13.888888888888886, 7.592592592592595, 25.185185185185176, 4.629629629629633]","[37.03703703703704, 1.2962962962962954, 4.351851851851851, 6.388888888888888]"
58,matched-8-cpi-low-c65.jpeg,Humanoid,LSF,"[-17.592592592592595, 14.444444444444445, -5.925925925925924, 27.40740740740742]","[50.64814814814815, 48.24074074074074, 55.00000000000001, 58.79629629629631]"
