Type,Spatial_Frequency,filepath,file_name,human_trials.thisRepN,human_trials.thisTrialN,human_trials.thisN,human_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Human_image.started,roi.started,Human_image.stopped,roi.stopped,roi.numLooks,roi.timesOn,roi.timesOff,Likebility_slider_3.started,ratingText.started,image.started,mouse.started,Likebility_slider_3.response,Likebility_slider_3.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,ISI_2.started,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_30_Caucasian_male_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_30_Caucasian_male_neutral_frontal.jpg,0,19,19,9,,,,,,,123.68987069999275,123.68987069999275,124.69027609999466,124.69027609999466,1,[0.0003743000124813989],[0.9967589000007138],124.69027609999466,124.69027609999466,125.13583780000044,0.43138389999512583,-26.111111111111114,0.42958809999981895,[0.5453703703703704],[-0.4666666666666667],[1],[0],[0],[0.48378799999773037],['image'],1.3700002455152571e-05,,,UTS,001,2023-04-16_22h16.49.822,Human_uncanny,2022.2.5,60.0997656114557,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_16_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_16_Caucasian_female_neutral_frontal.jpg,0,20,20,32,,,,,,,127.10637519999,127.10637519999,128.10614859999623,128.10614859999623,1,[0.00041190000774804503],[0.9965192999952706],128.10614859999623,128.10614859999623,128.72078479999618,0.5978286000026856,30.18518518518519,0.5966319999861298,[0.5796296296296296],[-0.4305555555555556],[1],[0],[0],[0.48375669999222737],['image'],1.440000778529793e-05,,,UTS,001,2023-04-16_22h16.49.822,Human_uncanny,2022.2.5,60.0997656114557,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_18_Caucasian_female_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_18_Caucasian_female_neutral_frontal.jpg,0,21,21,18,,,,,,,130.68958489999932,130.68958489999932,131.68925369999488,131.68925369999488,1,[0.0003547999949660152],[0.9958994999906281],131.68925369999488,131.68925369999488,132.1207151999988,0.4128408000105992,-62.22222222222222,1.5462159000016982,"[-0.3111111111111111, 0.4324074074074074]","[-0.13333333333333333, -0.4361111111111111]","[1, 1]","[0, 0]","[0, 0]","[1.0521420000004582, 1.4185085999924922]",['image'],1.2899996363557875e-05,,,UTS,001,2023-04-16_22h16.49.822,Human_uncanny,2022.2.5,60.0997656114557,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_12_Caucasian_female_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_12_Caucasian_female_neutral_frontal.jpg,0,22,22,16,,,,,,,135.02308549999725,135.02308549999725,136.0225819999905,136.0225819999905,1,[0.0004481999931158498],[0.9959042999980738],136.0225819999905,136.0225819999905,136.9373990000022,0.896715499999118,-20.370370370370367,0.8975843999942299,[0.49444444444444446],[-0.44722222222222224],[1],[0],[0],[0.4183430999983102],['image'],1.610000617802143e-05,,,UTS,001,2023-04-16_22h16.49.822,Human_uncanny,2022.2.5,60.0997656114557,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_01_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_01_Caucasian_female_neutral_frontal.jpg,0,23,23,30,,,,,,,138.8393866999977,138.8393866999977,139.83705940000073,139.83705940000073,1,[0.0004437000025063753],[0.9965212999959476],139.83705940000073,139.83705940000073,140.57050059999165,0.7148980000056326,7.7777777777777715,0.7122583000018494,[0.47685185185185186],[-0.45],[1],[0],[0],[0.40018789999885485],['image'],1.2499993317760527e-05,,,UTS,001,2023-04-16_22h16.49.822,Human_uncanny,2022.2.5,60.0997656114557,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_01_Caucasian_female_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_01_Caucasian_female_neutral_frontal.jpg,0,24,24,0,,,,,,,142.4561190999957,142.4561190999957,143.45596999999543,143.45596999999543,1,[0.0004008999967481941],[0.9968275999999605],143.45596999999543,143.45596999999543,144.07055069999478,0.5986782999971183,-2.037037037037038,1.4304394999926444,"[-0.010185185185185186, 0.5805555555555556]","[-0.10185185185185185, -0.3990740740740741]","[1, 1]","[0, 0]","[0, 0]","[0.7316261999949347, 1.199965699997847]",['image'],1.309999788645655e-05,,,UTS,001,2023-04-16_22h16.49.822,Human_uncanny,2022.2.5,60.0997656114557,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_28_Caucasian_male_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_28_Caucasian_male_neutral_frontal.jpg,0,25,25,23,,,,,,,146.75598039999022,146.75598039999022,147.7703654999932,147.7703654999932,1,[0.0003880000003846362],[1.0105057999899145],147.7703654999932,147.7703654999932,148.30180239999027,0.5298272000072757,-32.222222222222214,0.514448200003244,[0.5037037037037037],[-0.38055555555555554],[1],[0],[0],[0.3838169999944512],['image'],1.3900003978051245e-05,,,UTS,001,2023-04-16_22h16.49.822,Human_uncanny,2022.2.5,60.0997656114557,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_22_Caucasian_female_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_22_Caucasian_female_neutral_frontal.jpg,0,26,26,20,,,,,,,150.17259479999484,150.17259479999484,151.1870471000002,151.1870471000002,1,[0.013883499996154569],[1.0278180000022985],151.1870471000002,151.1870471000002,151.82021449999593,0.6329829000023892,-32.407407407407405,0.6145939000125509,"[0.7129629629629629, 0.6444444444444445]","[-0.49907407407407406, -0.43333333333333335]","[1, 1]","[0, 0]","[0, 0]","[0.31725449999794364, 0.7488173000019742]",['image'],1.589999010320753e-05,,,UTS,001,2023-04-16_22h16.49.822,Human_uncanny,2022.2.5,60.0997656114557,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_22_Caucasian_female_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_22_Caucasian_female_neutral_frontal.jpg,0,27,27,5,,,,,,,154.05590279999888,154.05590279999888,155.06857289999607,155.06857289999607,1,[0.00038979999953880906],[1.0110480000003008],155.06857289999607,155.06857289999607,155.8369546999893,0.7649335999885807,-40.74074074074075,0.7496030000038445,[0.4203703703703704],[-0.41388888888888886],[1],[0],[0],[0.6184588000032818],['image'],1.4899997040629387e-05,,,UTS,001,2023-04-16_22h16.49.822,Human_uncanny,2022.2.5,60.0997656114557,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_31_Caucasian_female_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_31_Caucasian_female_neutral_frontal.jpg,0,28,28,10,,,,,,,157.93903470000078,157.93903470000078,158.93897089999518,158.93897089999518,1,[0.000578399994992651],[0.9967046999954619],158.93897089999518,158.93897089999518,160.38692969999101,1.431514399999287,-25.185185185185176,1.4293980999937048,[0.48703703703703705],[-0.44074074074074077],[1],[0],[0],[0.5691680000018096],['image'],1.3299999409355223e-05,,,UTS,001,2023-04-16_22h16.49.822,Human_uncanny,2022.2.5,60.0997656114557,
