Type,Spatial_Frequency,filepath,file_name,robotic_trials.thisRepN,robotic_trials.thisTrialN,robotic_trials.thisN,robotic_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Robotic__Stimuli.started,roi.started,Robotic__Stimuli.stopped,roi.stopped,roi.numLooks,roi.timesOn,roi.timesOff,Likebility_slider_3.response,Likebility_slider_3.rt,ISI_2.started,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c76.jpeg,matched-c76.jpeg,0,33,33,12,,,,,,,158.46257899998454,158.46257899998454,,,1,[0.013847900030668825],[1.0124090000172146],34.81481481481481,0.3502316999947652,1.5900004655122757e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c69.jpeg,matched-c69.jpeg,0,34,34,8,,,,,,,161.56246939999983,161.56246939999983,162.56230890000006,162.56230890000006,1,[0.00032729998929426074],[0.9968047000002116],17.407407407407405,1.5995741999940947,1.2699980288743973e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c48.jpeg,matched-8-cpi-low-c48.jpeg,0,35,35,15,,,,,,,165.98196199996164,165.98196199996164,,,1,[0.00032400002237409353],[0.9941251000273041],-55.925925925925924,0.7665820000111125,1.5400000847876072e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c77.jpeg,matched-32-cpi-low-c77.jpeg,0,36,36,43,,,,,,,169.54550379997818,169.54550379997818,170.54348379996372,170.54348379996372,1,[0.000667200016323477],[0.9967940000351518],31.666666666666657,0.8327840000274591,1.2200034689158201e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c16.jpeg,matched-8-cpi-low-c16.jpeg,0,37,37,64,,,,,,,173.13186289998703,173.13186289998703,,,1,[0.00047259998973459005],[0.9934052999597043],-21.851851851851862,0.6834883000119589,1.3400043826550245e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c27.jpeg,matched-c27.jpeg,0,38,38,52,,,,,,,176.64550439995946,176.64550439995946,177.6453801000025,177.6453801000025,1,[0.0004273999948054552],[0.9967500999919139],-36.48148148148148,0.785683499998413,1.2400036212056875e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c12.jpeg,matched-32-cpi-low-c12.jpeg,0,39,39,77,,,,,,,180.4785833999631,180.4785833999631,181.47633099998347,181.47633099998347,1,[0.013913600007072091],[1.0136180000263266],-28.148148148148138,0.39961999998195097,1.2200034689158201e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c37.jpeg,matched-c37.jpeg,0,40,40,56,,,,,,,183.64535619999515,183.64535619999515,184.64532919996418,184.64532919996418,1,[0.01338350004516542],[1.0133048000279814],27.222222222222214,0.8190892999991775,1.2699980288743973e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c27.jpeg,matched-32-cpi-low-c27.jpeg,0,41,41,82,,,,,,,187.19522379996488,187.19522379996488,188.19502359995386,188.19502359995386,1,[0.00040690001333132386],[0.996789800003171],48.14814814814815,0.5521423000027426,1.3699987903237343e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c12.jpeg,matched-c12.jpeg,0,42,42,47,,,,,,,190.49500539997825,190.49500539997825,191.49521749996347,191.49521749996347,1,[0.013547199952881783],[1.0132593999733217],51.66666666666666,0.23304959997767583,1.4000048395246267e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c79.jpeg,matched-32-cpi-low-c79.jpeg,0,43,43,44,,,,,,,193.7595772999921,193.7595772999921,194.76162599999225,194.76162599999225,1,[0.0003722999827004969],[0.996588799986057],84.07407407407408,0.39751879998948425,1.8300022929906845e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c35.jpeg,matched-32-cpi-low-c35.jpeg,0,44,44,84,,,,,,,196.89494440000271,196.89494440000271,,,1,[0.0003858999698422849],[0.979436399997212],15.18518518518519,0.46665900002699345,1.2999982573091984e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c36.jpeg,matched-8-cpi-low-c36.jpeg,0,45,45,70,,,,,,,200.1281703999848,200.1281703999848,201.12806479999563,201.12806479999563,1,[0.00035259994911029935],[0.9971806999528781],-23.70370370370371,0.6522192999836989,1.6200006939470768e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c61.jpeg,matched-32-cpi-low-c61.jpeg,0,46,46,32,,,,,,,203.744803199952,203.744803199952,204.7424875999568,204.7424875999568,1,[0.012821600015740842],[1.0127828000113368],-57.03703703703704,0.23053140001138672,1.3300043065100908e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c64.jpeg,matched-8-cpi-low-c64.jpeg,0,47,47,19,,,,,,,206.73098329995992,206.73098329995992,207.74258590000682,207.74258590000682,1,[0.00032110000029206276],[1.010486499988474],-13.70370370370371,1.9657695000059903,1.2200034689158201e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c61.jpeg,matched-8-cpi-low-c61.jpeg,0,48,48,17,,,,,,,211.44756439997582,211.44756439997582,212.4591064999695,212.4591064999695,1,[0.00041800003964453936],[1.0100814000470564],10.370370370370367,1.00442309997743,1.309998333454132e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c17.jpeg,matched-32-cpi-low-c17.jpeg,0,49,49,80,,,,,,,215.61116129998118,215.61116129998118,216.61119829997187,216.61119829997187,1,[0.000334500044118613],[0.9965335000306368],-16.666666666666657,0.34988110000267625,1.4999997802078724e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c67.jpeg,matched-c67.jpeg,0,50,50,7,,,,,,,219.09238319995347,219.09238319995347,220.09216369997011,220.09216369997011,1,[0.0003266999847255647],[0.9969017999828793],12.592592592592595,0.5822205999866128,1.3999990187585354e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
