Type,Spatial_Frequency,filepath,file_name,robotic_trials.thisRepN,robotic_trials.thisTrialN,robotic_trials.thisN,robotic_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Robotic__Stimuli.started,roi.started,roi.numLooks,roi.timesOn,roi.timesOff,M_H_likeness_slider.response,M_H_likeness_slider.rt,ISI_2.started,Robotic__Stimuli.stopped,roi.stopped,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c11.jpeg,matched-c11.jpeg,0,27,27,46,,,,,,,180.26408610004,180.26408610004,1,[0.00983019988052547],[1.0097038000822067],3.98148148148148,0.5184609000571072,1.3199867680668831e-05,181.26417990005575,181.26417990005575,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c63.jpeg,matched-32-cpi-low-c63.jpeg,0,28,28,33,,,,,,,183.81635640002787,183.81635640002787,1,[0.008728999877348542],[1.0087207998149097],28.055555555555557,1.9304405997972935,1.3899989426136017e-05,184.81427560001612,184.81427560001612,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c43.jpeg,Matched-c43.jpeg,0,29,29,51,,,,,,,188.6974134000484,188.6974134000484,1,[0.00045599997974932194],[0.9930316000245512],6.851851851851853,0.6526203001849353,1.3699987903237343e-05,189.69748800015077,189.69748800015077,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c63.jpeg,matched-c63.jpeg,0,30,30,3,,,,,,,192.3973542000167,192.3973542000167,1,[0.0005495001096278429],[0.9906250000931323],17.129629629629626,0.6330271000042558,1.2799864634871483e-05,193.39956310018897,193.39956310018897,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c67.jpeg,matched-32-cpi-low-c67.jpeg,0,31,31,37,,,,,,,195.93041570018977,195.93041570018977,1,[0.0004477999173104763],[0.9924031000118703],18.425925925925924,0.4490107998717576,1.5099998563528061e-05,196.9305227000732,196.9305227000732,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c17.jpeg,matched-8-cpi-low-c17.jpeg,0,32,32,65,,,,,,,199.247159200022,199.247159200022,1,[0.011607500026002526],[1.0116824000142515],23.148148148148145,0.7507305999752134,1.2600095942616463e-05,200.24737960007042,200.24737960007042,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c69.jpeg,matched-8-cpi-low-c69.jpeg,0,33,33,23,,,,,,,203.13257120014168,203.13257120014168,1,[0.008633200079202652],[1.010843199910596],48.7037037037037,1.0135958001483232,1.400010660290718e-05,204.13259840011597,204.13259840011597,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c79.jpeg,matched-32-cpi-low-c79.jpeg,0,34,34,44,,,,,,,207.2636709001381,207.2636709001381,1,[0.008203599834814668],[0.9965486000292003],58.24074074074074,0.5140386000275612,1.400010660290718e-05,,,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c65.jpeg,matched-8-cpi-low-c65.jpeg,0,35,35,20,,,,,,,210.63259549997747,210.63259549997747,1,[0.006246400065720081],[1.0063281999900937],33.7037037037037,0.6807055999524891,1.2800097465515137e-05,,,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c58.jpeg,matched-8-cpi-low-c58.jpeg,0,36,36,16,,,,,,,214.28047530003823,214.28047530003823,1,[0.01141729997470975],[1.00920689990744],18.333333333333336,0.3494333000853658,1.3299984857439995e-05,215.2804974000901,215.2804974000901,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c69.jpeg,matched-c69.jpeg,0,37,37,8,,,,,,,217.51322800014168,217.51322800014168,1,[0.0004764001350849867],[0.9917960001621395],65.83333333333333,0.3995512998662889,1.2899981811642647e-05,218.5132939000614,218.5132939000614,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c11.jpeg,matched-32-cpi-low-c11.jpeg,0,38,38,76,,,,,,,220.78223410015926,220.78223410015926,1,[0.0004281001165509224],[0.9920149000827223],24.444444444444446,0.4194942000322044,1.550000160932541e-05,221.78223949996755,221.78223949996755,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c10.jpeg,matched-8-cpi-low-c10.jpeg,0,39,39,60,,,,,,,224.44951619999483,224.44951619999483,1,[0.0005170998629182577],[0.99214329989627],13.333333333333336,0.4635083000175655,1.309998333454132e-05,225.44691679999232,225.44691679999232,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c42.jpeg,matched-c42.jpeg,0,40,40,59,,,,,,,227.7503576001618,227.7503576001618,1,[0.00039499998092651367],[1.0036259999033064],15.833333333333332,0.56588269979693,1.4099990949034691e-05,228.7631282999646,228.7631282999646,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c61.jpeg,matched-32-cpi-low-c61.jpeg,0,41,41,32,,,,,,,231.53214510018006,231.53214510018006,1,[0.008041799999773502],[0.993027500109747],48.42592592592593,2.4148796999361366,1.4099990949034691e-05,,,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c16.jpeg,matched-8-cpi-low-c16.jpeg,0,42,42,64,,,,,,,236.7669073001016,236.7669073001016,1,[0.000651499954983592],[1.004127300111577],1.944444444444443,0.4000265998765826,1.4299992471933365e-05,237.779449300142,237.779449300142,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c35.jpeg,matched-8-cpi-low-c35.jpeg,0,43,43,69,,,,,,,240.4485422000289,240.4485422000289,1,[0.00046909996308386326],[0.9936677999794483],6.666666666666665,0.9812056000810117,1.3299984857439995e-05,,,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c48.jpeg,matched-32-cpi-low-c48.jpeg,0,44,44,30,,,,,,,244.64844180014916,244.64844180014916,1,[0.009492400102317333],[0.994680100120604],12.407407407407407,0.45056949998252094,1.3699987903237343e-05,,,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c76.jpeg,matched-c76.jpeg,0,45,45,12,,,,,,,248.12924090004526,248.12924090004526,1,[0.009396499954164028],[1.009725800016895],59.074074074074076,0.43518090015277267,1.3199867680668831e-05,249.12953900010325,249.12953900010325,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c27.jpeg,matched-32-cpi-low-c27.jpeg,0,46,46,82,,,,,,,251.3818304000888,251.3818304000888,1,[0.008042299887165427],[1.0095162999350578],18.88888888888889,0.8332334998995066,1.4599878340959549e-05,252.3814626999665,252.3814626999665,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c17.jpeg,matched-c17.jpeg,0,47,47,50,,,,,,,255.08146230014972,255.08146230014972,1,[0.0004891001153737307],[0.9922914002090693],11.574074074074076,0.7314561998937279,1.400010660290718e-05,256.08147440012544,256.08147440012544,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c41.jpeg,matched-32-cpi-low-c41.jpeg,0,48,48,88,,,,,,,258.73168030008674,258.73168030008674,1,[0.008673000149428844],[0.9944525000173599],14.444444444444443,0.5172183001413941,1.2499978765845299e-05,,,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c35.jpeg,matched-c35.jpeg,0,49,49,54,,,,,,,262.1625668001361,262.1625668001361,1,[0.000399300130084157],[0.9925140000414103],7.222222222222224,0.4660189999267459,1.4099990949034691e-05,263.1626779001672,263.1626779001672,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c14.jpeg,matched-8-cpi-low-c14.jpeg,0,50,50,63,,,,,,,265.6455936001148,265.6455936001148,1,[0.0003829000052064657],[0.9938505999743938],9.166666666666668,0.46490189991891384,1.2399861589074135e-05,266.6455739000812,266.6455739000812,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c64.jpeg,matched-8-cpi-low-c64.jpeg,0,51,51,19,,,,,,,269.2291935000103,269.2291935000103,1,[0.00975039997138083],[1.0072596999816597],9.907407407407408,0.6521457000635564,1.850002445280552e-05,270.2291451001074,270.2291451001074,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c38.jpeg,matched-c38.jpeg,0,52,52,57,,,,,,,272.7289545000531,272.7289545000531,1,[0.00041470001451671124],[0.9926516998093575],9.999999999999998,0.4974866001866758,1.2999866157770157e-05,273.72890019998886,273.72890019998886,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c65.jpeg,matched-32-cpi-low-c65.jpeg,0,53,53,35,,,,,,,276.095643900102,276.095643900102,1,[0.0005391999147832394],[0.9908373998478055],38.51851851851852,0.6843369998969138,1.309998333454132e-05,277.09575400012545,277.09575400012545,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c36.jpeg,matched-c36.jpeg,0,54,54,55,,,,,,,279.662232800154,279.662232800154,1,[0.0004998000804334879],[0.9934455000329763],13.611111111111112,0.48290969990193844,1.3999873772263527e-05,280.66220220015384,280.66220220015384,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
