Type,Spatial_Frequency,filepath,file_name,robotic_trials.thisRepN,robotic_trials.thisTrialN,robotic_trials.thisN,robotic_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Robotic__Stimuli.started,roi.started,Robotic__Stimuli.stopped,roi.stopped,roi.numLooks,roi.timesOn,roi.timesOff,M_H_likeness_slider.response,M_H_likeness_slider.rt,ISI_2.started,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c64.jpeg,matched-8-cpi-low-c64.jpeg,0,23,23,19,,,,,,,112.42059349999181,112.42059349999181,113.41935779999767,113.41935779999767,1,[0.0003547000087564811],[0.9908751000039047],37.31481481481481,0.4986889000138035,1.4300007023848593e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c67.jpeg,matched-32-cpi-low-c67.jpeg,0,24,24,37,,,,,,,115.85481930000242,115.85481930000242,116.8561936999904,116.8561936999904,1,[0.0005080999981146306],[0.9919888000003994],38.148148148148145,0.430699899996398,1.2600008631125093e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c37.jpeg,matched-8-cpi-low-c37.jpeg,0,25,25,71,,,,,,,119.25651619999553,119.25651619999553,120.25263099999574,120.25263099999574,1,[0.00047849999100435525],[0.912163299988606],2.4074074074074083,0.547321500009275,1.3199998647905886e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c67.jpeg,matched-8-cpi-low-c67.jpeg,0,26,26,22,,,,,,,122.73972820000199,122.73972820000199,123.73937149999256,123.73937149999256,1,[0.0003935999993700534],[0.9955164999992121],38.7962962962963,0.3793891000095755,1.5700003132224083e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c38.jpeg,matched-c38.jpeg,0,27,27,57,,,,,,,126.03533879999304,126.03533879999304,127.03933010000037,127.03933010000037,1,[0.000414399997680448],[0.9926394000067376],1.944444444444443,0.7976253000088036,1.6200006939470768e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c10.jpeg,matched-8-cpi-low-c10.jpeg,0,28,28,60,,,,,,,129.68703990000358,129.68703990000358,130.70235349998984,130.70235349998984,3,"[0.0003786000015679747, 0.7755580999946687, 0.8089425999933155]","[0.7589593000011519, 0.7922271999996156, 1.0054442999971798]",0.9259259259259245,1.1992553000018233,1.340000017080456e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c43.jpeg,matched-8-cpi-low-c43.jpeg,0,29,29,66,,,,,,,134.0061865000025,134.0061865000025,,,1,[0.0063889000011840835],[1.0057048000016948],0.9259259259259245,0.6985172999993665,1.3299999409355223e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c11.jpeg,matched-32-cpi-low-c11.jpeg,0,30,30,76,,,,,,,137.9709487999935,137.9709487999935,138.97235090000322,138.97235090000322,1,[0.00041449999844189733],[0.9907691999978852],1.0185185185185186,1.0794286000018474,1.4800010831095278e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c43.jpeg,matched-32-cpi-low-c43.jpeg,0,31,31,81,,,,,,,142.02027880000242,142.02027880000242,143.0352988999948,143.0352988999948,1,[0.0004616000078385696],[1.0070719000068493],2.685185185185185,0.6479123000026448,1.410000550094992e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c16.jpeg,matched-c16.jpeg,0,32,32,49,,,,,,,145.71838559999014,145.71838559999014,146.72226670000236,146.72226670000236,3,"[0.0003786999877775088, 0.525943799992092, 0.5591691999870818]","[0.4762644000002183, 0.5424367999949027, 0.8927844999998342]",0.9259259259259245,0.7145107999967877,1.3500000932253897e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
