Type,Spatial_Frequency,filepath,file_name,robotic_trials.thisRepN,robotic_trials.thisTrialN,robotic_trials.thisN,robotic_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Robotic__Stimuli.started,roi.started,roi.numLooks,roi.timesOn,roi.timesOff,Likebility_slider_3.response,Likebility_slider_3.rt,ISI_2.started,Robotic__Stimuli.stopped,roi.stopped,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c35.jpeg,matched-32-cpi-low-c35.jpeg,0,25,25,84,,,,,,,186.61291659998824,186.61291659998824,1,[0.0006173000001581386],[0.9926506000047084],22.962962962962962,0.8662115000042832,1.4099990949034691e-05,187.61279749999812,187.61279749999812,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c33.jpeg,matched-8-cpi-low-c33.jpeg,0,26,26,68,,,,,,,190.66130539998994,190.66130539998994,2,"[0.010730000009061769, 0.09221509999770205]","[0.07747610000660643, 0.7775024000002304]",11.666666666666671,0.7500326000008499,1.2699994840659201e-05,,,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c42.jpeg,matched-8-cpi-low-c42.jpeg,0,27,27,74,,,,,,,194.5460119999916,194.5460119999916,1,[0.008088599992333911],[0.8581414999935078],20.925925925925924,0.714658299999428,1.4000004739500582e-05,195.54432429998997,195.54432429998997,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c37.jpeg,matched-8-cpi-low-c37.jpeg,0,28,28,71,,,,,,,198.1624972999998,198.1624972999998,1,[0.0004997000069124624],[0.9930486999946879],7.962962962962976,0.7643167999922298,1.4199991710484028e-05,199.16084689999116,199.16084689999116,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c10.jpeg,matched-8-cpi-low-c10.jpeg,0,29,29,60,,,,,,,202.27741969999624,202.27741969999624,1,[0.0003704999980982393],[0.7421612000034656],-87.77777777777777,0.46844029999920167,1.2799995602108538e-05,203.27924429999257,203.27924429999257,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c76.jpeg,matched-c76.jpeg,0,30,30,12,,,,,,,205.8606155999878,205.8606155999878,2,"[0.00036949999048374593, 0.9085089000000153]","[0.7083137000008719, 0.9915597999934107]",1.1111111111111143,1.482930199999828,1.5900004655122757e-05,206.86060739999812,206.86060739999812,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c14.jpeg,matched-c14.jpeg,0,31,31,48,,,,,,,210.54382839999744,210.54382839999744,2,"[0.0013628000015160069, 0.9253721999994013]","[0.7421178000076907, 0.9923784999991767]",-29.444444444444457,0.7140777000022354,1.5900004655122757e-05,211.54403219999222,211.54403219999222,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c77.jpeg,matched-8-cpi-low-c77.jpeg,0,32,32,28,,,,,,,214.17713959999674,214.17713959999674,1,[0.000487900004372932],[0.9920191999990493],14.999999999999986,0.6494669999956386,1.5700003132224083e-05,215.17741459999525,215.17741459999525,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c33.jpeg,matched-32-cpi-low-c33.jpeg,0,33,33,83,,,,,,,217.7288824999996,217.7288824999996,1,[0.000384599989047274],[0.9773580999899423],10.555555555555557,1.0649250999995274,2.3100001271814108e-05,,,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c79.jpeg,matched-8-cpi-low-c79.jpeg,0,34,34,29,,,,,,,221.66209589999926,221.66209589999926,1,[0.0010529999999562278],[0.9904609999939566],3.333333333333343,0.9320549000112806,1.4200006262399256e-05,222.66200719999324,222.66200719999324,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
